accountid,doc_number,po_number,id,actual_trans_ts,ea_abbrev,qty,item_code,description,containerid,Day,actual_weight,ea_width,ea_height,ea_depth,var0,cntrl,service_class_id
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56UND,NOTION UNDERGROUND,170-20181,1,46.92,56,0,0,PCIU8473967,C000001085485,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56UND,NOTION UNDERGROUND,170-20181,1,47.46,56,0,0,PCIU8473967,C000001085494,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56UND,NOTION UNDERGROUND,170-20181,1,47.24,56,0,0,PCIU8473967,C000001085489,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,40BR3B55GOS,BRIO GOSSAMER,170-20180,1,35.54,0,0,0,PCIU8473967,C000001085315,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20180,1,52.27,0,0,0,PCIU8473967,C000001085369,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56ROO,NOTION ROOT BEER,170-20180,1,50.74,0,0,0,PCIU8473967,C000001085534,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20180,1,45.93,0,0,0,PCIU8473967,C000001085355,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56ROO,NOTION ROOT BEER,170-20180,1,50.96,0,0,0,PCIU8473967,C000001085538,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20180,1,49.54,0,0,0,PCIU8473967,C000001085389,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56ROO,NOTION ROOT BEER,170-20180,1,49.87,0,0,0,PCIU8473967,C000001085533,4
170,PCIU8473967,,813578,01-Jun-19,ROLL,1,70NO3C56GUN,NOTION GUNSMOKE,170-20180,1,51.29,0,0,0,PCIU8473967,C000001085361,4
